number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.279153151015987,2025-11-15 00:35:55.681155,2025-11-15 00:35:57.135699,0 days 00:00:01.454544,0.00010566453370397782,0.7444071480134948,0.24825471679403754,0.0031411530899007616,12,6,0.7873623175940512,COMPLETE
1,1.2398733668193687,2025-11-15 00:35:57.135699,2025-11-15 00:35:58.844515,0 days 00:00:01.708816,3.902672152748048,0.599210766698882,0.2835711715320446,0.01691975050161946,15,4,0.5856799821789604,COMPLETE
2,1.2418218394323175,2025-11-15 00:35:58.844515,2025-11-15 00:35:59.949956,0 days 00:00:01.105441,0.006004050282320548,0.9389729575448736,0.13526884510292625,3.694490474224577e-06,13,8,0.5568572271919531,COMPLETE
3,1.3147775762017613,2025-11-15 00:35:59.949956,2025-11-15 00:36:01.172071,0 days 00:00:01.222115,0.7500380560932799,0.8033507617294593,0.29255137493842126,0.021101661615616992,9,4,0.6936801270465351,COMPLETE
4,1.1844485252439656,2025-11-15 00:36:01.172071,2025-11-15 00:36:03.133153,0 days 00:00:01.961082,0.03977473472241974,0.7303319991051356,0.2075462512722715,0.01312599175553654,14,6,0.9786768450661812,COMPLETE
5,1.0910038596707958,2025-11-15 00:36:03.133153,2025-11-15 00:36:03.708721,0 days 00:00:00.575568,0.029231764337398252,0.6319928637896275,0.06395579108642684,0.0011726367567737876,7,1,0.8760161910766698,COMPLETE
6,1.0759569140189962,2025-11-15 00:36:03.708721,2025-11-15 00:36:04.099508,0 days 00:00:00.390787,0.0001664365303038308,0.63026202826057,0.038267123529099674,1.658253213731943e-08,7,10,0.975541699357269,COMPLETE
7,1.2312325902074877,2025-11-15 00:36:04.099508,2025-11-15 00:36:04.514698,0 days 00:00:00.415190,1.4190385687169453e-07,0.9653826115409182,0.26742301721411127,0.9598998903425657,6,7,0.9200722637663457,COMPLETE
8,1.1872643814987607,2025-11-15 00:36:04.514698,2025-11-15 00:36:05.736112,0 days 00:00:01.221414,2.4605617822641963,0.9022516430175942,0.25939839326051056,2.7980882504225975e-08,9,4,0.7676595501363266,COMPLETE
9,1.0551033191586796,2025-11-15 00:36:05.736112,2025-11-15 00:36:06.281522,0 days 00:00:00.545410,3.2922784515770605e-05,0.8423228158531988,0.015798827517784695,1.8663806918614905,7,3,0.921172526300714,COMPLETE
10,1.0880274816397295,2025-11-15 00:36:06.281522,2025-11-15 00:36:06.602666,0 days 00:00:00.321144,2.2663349527996798e-07,0.8400920092520088,0.11210602470272091,7.229564368905025,5,1,0.8663595594942264,COMPLETE
11,1.0463691720747244,2025-11-15 00:36:06.602666,2025-11-15 00:36:07.083052,0 days 00:00:00.480386,2.3237626243574407e-05,0.5006297129937585,0.010151625615619247,1.2267308994336619e-05,8,10,0.9944371165383002,COMPLETE
12,1.0541152177828492,2025-11-15 00:36:07.083052,2025-11-15 00:36:07.944491,0 days 00:00:00.861439,9.135949866749888e-06,0.6856688122761623,0.010526604523745348,1.7548184791664194e-05,11,10,0.9988180415066087,COMPLETE
