number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,83.59987849222645,2025-11-19 01:09:33.936696,2025-11-19 01:10:00.372997,0 days 00:00:26.436301,0.6619513949500963,0.6685713158826583,0.2516441494437119,2.195205512057987e-08,8,8,0.5661040828993991,COMPLETE
1,94.35015731755513,2025-11-19 01:09:33.951730,2025-11-19 01:09:46.439224,0 days 00:00:12.487494,0.01578633671080089,0.5399776285631688,0.24710233384517408,1.1209756291286869e-05,5,9,0.9483075635585543,COMPLETE
2,88.03507048432603,2025-11-19 01:09:33.960439,2025-11-19 01:10:42.539110,0 days 00:01:08.578671,31.6271145634251,0.6064677781112546,0.09582822143578797,5.213227352609609e-07,10,10,0.9411854859836126,COMPLETE
3,81.97327514062147,2025-11-19 01:09:33.971658,2025-11-19 01:11:58.006522,0 days 00:02:24.034864,0.030376321625207144,0.7769019849763386,0.17540434044687753,47.56282835937328,10,6,0.7933020471192131,COMPLETE
4,81.56328944837658,2025-11-19 01:09:33.974823,2025-11-19 01:10:39.023274,0 days 00:01:05.048451,0.00036408930528247807,0.8004075032500314,0.06754865243438155,57.18522914933498,6,10,0.6075684230791565,COMPLETE
5,97.43920557124804,2025-11-19 01:09:33.981277,2025-11-19 01:13:21.090848,0 days 00:03:47.109571,0.1138357516519118,0.5657213841128196,0.13802025373219448,0.03491456518405364,14,9,0.9853839715849084,COMPLETE
6,77.98158336200211,2025-11-19 01:09:33.991767,2025-11-19 01:15:07.574186,0 days 00:05:33.582419,1.5301747779369374e-08,0.9899709768580649,0.04036470115017726,16.54631161027739,10,4,0.5599445600250375,COMPLETE
7,83.21662465974511,2025-11-19 01:09:33.998768,2025-11-19 01:10:58.406875,0 days 00:01:24.408107,5.950739627283792e-08,0.5939698371844835,0.10728011866093427,0.039892030833758745,13,1,0.7940206165505121,COMPLETE
8,87.9807279841286,2025-11-19 01:09:34.003771,2025-11-19 01:12:12.674672,0 days 00:02:38.670901,0.00591009475848339,0.5315692191352128,0.016421742216010688,0.0007801415662450882,7,1,0.7254820014774421,COMPLETE
9,83.63872191578231,2025-11-19 01:09:34.033778,2025-11-19 01:11:05.772951,0 days 00:01:31.739173,0.0001115222942266377,0.6428613651250841,0.24564569673927047,0.5333719689639284,14,8,0.6519987414091191,COMPLETE
10,88.39523586491401,2025-11-19 01:09:34.044778,2025-11-19 01:18:08.541313,0 days 00:08:34.496535,0.0023305724492048577,0.5747487882025799,0.01166534308724238,0.005397527820048033,15,1,0.9188993734837043,COMPLETE
11,79.79719174856804,2025-11-19 01:09:34.048780,2025-11-19 01:10:02.290003,0 days 00:00:28.241223,5.9483364712705116e-08,0.5831110568149533,0.08879757210036576,5.738455998041436,5,2,0.6022692032497327,COMPLETE
12,93.1921026811435,2025-11-19 01:09:46.439224,2025-11-19 01:10:50.143207,0 days 00:01:03.703983,1.8435242554979915e-05,0.9801866637089414,0.07579220324388551,3.151227536810916e-08,9,4,0.9535036500625653,COMPLETE
13,85.01075339844627,2025-11-19 01:10:00.386807,2025-11-19 01:13:16.373717,0 days 00:03:15.986910,1.899929208291448e-05,0.7434076257066395,0.06287788306702155,1.4516566931807666,14,8,0.994507341443323,COMPLETE
14,93.0959600678081,2025-11-19 01:10:02.302009,2025-11-19 01:10:55.306362,0 days 00:00:53.004353,0.1126141491203174,0.511488637676684,0.1997464572799665,2.996238740439208e-08,15,4,0.9602450997622763,COMPLETE
15,81.91939085624993,2025-11-19 01:10:39.023274,2025-11-19 01:13:05.539828,0 days 00:02:26.516554,91.59407794633006,0.7598182526587879,0.027966503442992882,2.51594641958704e-06,12,8,0.5712616429885065,COMPLETE
16,82.35922188086228,2025-11-19 01:10:42.545681,2025-11-19 01:16:05.191497,0 days 00:05:22.645816,0.3372944050739195,0.5588476953173859,0.05640123838929386,4.8998044581161135,10,4,0.8061075158747083,COMPLETE
17,81.83592962156402,2025-11-19 01:10:50.143207,2025-11-19 01:11:23.640374,0 days 00:00:33.497167,1.018348301290397e-05,0.533810381440823,0.10798032080391078,15.071641226285324,6,8,0.5044803738314465,COMPLETE
18,84.31152752843748,2025-11-19 01:10:55.322404,2025-11-19 01:13:43.509397,0 days 00:02:48.186993,4.4304896712503916e-07,0.7967785672843906,0.05150146517146856,0.01582845081316922,13,1,0.533741527741129,COMPLETE
19,86.35531158233194,2025-11-19 01:10:58.406875,2025-11-19 01:11:25.522919,0 days 00:00:27.116044,0.002246578716189966,0.7501701709158723,0.26422583114584375,4.396481067376323e-06,10,2,0.5898821094748135,COMPLETE
20,79.56603734530366,2025-11-19 01:11:05.790078,2025-11-19 01:12:14.056730,0 days 00:01:08.266652,1.4801120155564573,0.9830426036590209,0.18979286582676544,1.0528763744727051e-06,14,1,0.588373007361483,COMPLETE
21,89.47078152090675,2025-11-19 01:11:23.640374,2025-11-19 01:12:17.157712,0 days 00:00:53.517338,1.1137335583510135e-08,0.7772303998707637,0.16509722832682083,0.005933441890772194,12,1,0.7475433115653616,COMPLETE
22,90.29676522918216,2025-11-19 01:11:25.522919,2025-11-19 01:15:09.694360,0 days 00:03:44.171441,1.3057149793706178e-08,0.8185886986933343,0.016963441270655022,86.1281459307015,7,6,0.7119033189701441,COMPLETE
23,88.15482101958992,2025-11-19 01:11:58.023693,2025-11-19 01:14:07.074224,0 days 00:02:09.050531,6.585778169471405e-08,0.8489921348510211,0.017492536223283395,0.007786938364272739,7,6,0.6560126962328957,COMPLETE
24,82.33740249154432,2025-11-19 01:12:12.689895,2025-11-19 01:13:10.113529,0 days 00:00:57.423634,4.963397039094146e-08,0.8706671695747048,0.03248702974453639,0.8217081678764347,5,6,0.6667858607985055,COMPLETE
25,84.73375221379162,2025-11-19 01:12:14.062386,2025-11-19 01:13:17.420697,0 days 00:01:03.358311,1.1688618268227141e-08,0.98376495435424,0.14914378062062872,0.0018703845949238549,12,3,0.7134974716822335,COMPLETE
26,83.9663871770521,2025-11-19 01:12:17.178273,2025-11-19 01:13:00.143756,0 days 00:00:42.965483,38.279179907420094,0.9399324651179028,0.13370785393120993,0.0002375241384910943,12,3,0.6823395368056318,COMPLETE
27,75.17926177579588,2025-11-19 01:13:00.156243,2025-11-19 01:16:48.121544,0 days 00:03:47.965301,3.0810620122951613e-07,0.8365190493036473,0.19567346552681839,0.8772008420053619,15,5,0.5382835495356997,COMPLETE
28,75.74549224176445,2025-11-19 01:13:05.539828,2025-11-19 01:16:45.417384,0 days 00:03:39.877556,4.3896961303494825e-07,0.8943450800256102,0.20207247545058626,1.1809771741605002,15,5,0.5216349119527183,COMPLETE
29,82.80098536927684,2025-11-19 01:13:10.120874,2025-11-19 01:13:39.257314,0 days 00:00:29.136440,1.0741936874408284e-06,0.6947751454418157,0.20642267713898568,9.740468020409371e-05,8,3,0.5040820167578394,COMPLETE
30,78.89961245323967,2025-11-19 01:13:16.373717,2025-11-19 01:14:13.656552,0 days 00:00:57.282835,1.9061148146534537,0.8848832794639077,0.29964859775400254,5.8599538215158936e-05,15,3,0.5018130014198168,COMPLETE
31,86.95156769976738,2025-11-19 01:13:17.426980,2025-11-19 01:13:47.990215,0 days 00:00:30.563235,1.5073630985513236,0.8580511396048857,0.20841021479213973,0.00014177089662636855,8,5,0.857228399819655,COMPLETE
32,86.50890810962738,2025-11-19 01:13:21.090848,2025-11-19 01:13:59.491295,0 days 00:00:38.400447,8.423831430792557e-07,0.863441451105706,0.19197764035937595,79.73813608436674,7,5,0.6180426974493747,COMPLETE
33,80.0318413665796,2025-11-19 01:13:39.257314,2025-11-19 01:14:42.193161,0 days 00:01:02.935847,0.8796923728821819,0.8370394993353697,0.05514276937524394,14.794440513013027,6,5,0.6098593424046254,COMPLETE
34,81.97994802021452,2025-11-19 01:13:43.516398,2025-11-19 01:14:01.713664,0 days 00:00:18.197266,4.016733864603191,0.8539453383451062,0.2074625061724446,8.108026977404885,6,5,0.6228835358226745,COMPLETE
35,82.49304955547325,2025-11-19 01:13:47.990215,2025-11-19 01:14:14.657311,0 days 00:00:26.667096,0.0005395728984940164,0.8883445944917531,0.08163029180717965,4.393696006696419,6,2,0.6147735111342977,COMPLETE
36,79.81989797071765,2025-11-19 01:13:59.491295,2025-11-19 01:14:12.223666,0 days 00:00:12.732371,0.00034496145792209956,0.927120191796941,0.29775166913974926,0.1613649116673306,6,2,0.6234636700365971,COMPLETE
37,81.63607534296032,2025-11-19 01:14:01.715664,2025-11-19 01:14:27.311106,0 days 00:00:25.595442,0.00031476869307532786,0.9109266687073548,0.09210743108751479,0.17342722646016762,6,2,0.6221351200967822,COMPLETE
38,81.23523860203288,2025-11-19 01:14:07.074224,2025-11-19 01:14:19.573740,0 days 00:00:12.499516,0.0011169068271704933,0.9215515130786073,0.291078740004573,0.18959593131076768,5,2,0.5414630474100086,COMPLETE
39,90.86777949009992,2025-11-19 01:14:12.223666,2025-11-19 01:14:47.557111,0 days 00:00:35.333445,0.0004200919417441843,0.9335961668768932,0.28585350847673563,0.2119421927032219,11,2,0.5711416430248244,COMPLETE
40,88.58553002212793,2025-11-19 01:14:13.660280,2025-11-19 01:15:11.524165,0 days 00:00:57.863885,0.4662264681032983,0.9203394541260689,0.2780559289338527,2.7343724802695403e-07,15,2,0.5377656935037024,COMPLETE
41,85.37199235613316,2025-11-19 01:14:14.657311,2025-11-19 01:15:01.373748,0 days 00:00:46.716437,8.114984937678917,0.9368808128592159,0.26524069903347647,2.3675248285994994e-07,15,2,0.5518224381929244,COMPLETE
42,83.22488466098812,2025-11-19 01:14:19.588569,2025-11-19 01:14:59.612209,0 days 00:00:40.023640,4.9672571940744525,0.9513080495541004,0.299846884771387,4.025260734923076e-07,15,2,0.550955629862723,COMPLETE
43,77.99772394274733,2025-11-19 01:14:27.314107,2025-11-19 01:15:23.691235,0 days 00:00:56.377128,6.100183158661372,0.9689126633052219,0.2965702736990574,3.42163776309949e-05,15,3,0.5513888733368858,COMPLETE
44,82.05715920177217,2025-11-19 01:14:42.210754,2025-11-19 01:15:43.591443,0 days 00:01:01.380689,6.052679666462786,0.9490783551952583,0.2972134559273436,3.7236563299685653e-07,15,3,0.5550358760044516,COMPLETE
45,69.27646675635091,2025-11-19 01:14:47.557111,2025-11-19 01:15:30.291148,0 days 00:00:42.734037,8.522508709608221,0.9656210055890737,0.22874862344284558,2.9008184755968606e-07,15,3,0.5420258041680621,COMPLETE
