number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.2196710629925946,2025-11-15 16:29:34.189594,2025-11-15 16:29:37.188316,0 days 00:00:02.998722,0.00010566453370397782,0.7444071480134948,0.24825471679403754,0.0031411530899007616,12,6,0.7873623175940512,COMPLETE
1,1.1804464186250894,2025-11-15 16:29:37.189314,2025-11-15 16:29:40.389740,0 days 00:00:03.200426,3.902672152748048,0.599210766698882,0.2835711715320446,0.01691975050161946,15,4,0.5856799821789604,COMPLETE
2,1.1898675624533246,2025-11-15 16:29:40.389740,2025-11-15 16:29:42.935362,0 days 00:00:02.545622,0.006004050282320548,0.9389729575448736,0.13526884510292625,3.694490474224577e-06,13,8,0.5568572271919531,COMPLETE
3,1.402917492560879,2025-11-15 16:29:42.935362,2025-11-15 16:29:45.481082,0 days 00:00:02.545720,0.7500380560932799,0.8033507617294593,0.29255137493842126,0.021101661615616992,9,4,0.6936801270465351,COMPLETE
4,1.1933979552411587,2025-11-15 16:29:45.481082,2025-11-15 16:29:49.175910,0 days 00:00:03.694828,0.03977473472241974,0.7303319991051356,0.2075462512722715,0.01312599175553654,14,6,0.9786768450661812,COMPLETE
5,1.1017137698214412,2025-11-15 16:29:49.175910,2025-11-15 16:29:50.376842,0 days 00:00:01.200932,0.029231764337398252,0.6319928637896275,0.06395579108642684,0.0011726367567737876,7,1,0.8760161910766698,COMPLETE
6,1.0712154378454437,2025-11-15 16:29:50.376842,2025-11-15 16:29:51.227717,0 days 00:00:00.850875,0.0001664365303038308,0.63026202826057,0.038267123529099674,1.658253213731943e-08,7,10,0.975541699357269,COMPLETE
7,1.218827525459227,2025-11-15 16:29:51.227717,2025-11-15 16:29:52.210124,0 days 00:00:00.982407,1.4190385687169453e-07,0.9653826115409182,0.26742301721411127,0.9598998903425657,6,7,0.9200722637663457,COMPLETE
8,1.2122975295373437,2025-11-15 16:29:52.210124,2025-11-15 16:29:54.696532,0 days 00:00:02.486408,2.4605617822641963,0.9022516430175942,0.25939839326051056,2.7980882504225975e-08,9,4,0.7676595501363266,COMPLETE
9,1.0568562466441764,2025-11-15 16:29:54.696532,2025-11-15 16:29:55.852828,0 days 00:00:01.156296,3.2922784515770605e-05,0.8423228158531988,0.015798827517784695,1.8663806918614905,7,3,0.921172526300714,COMPLETE
10,1.0894986842095085,2025-11-15 16:29:55.853828,2025-11-15 16:29:56.567329,0 days 00:00:00.713501,2.2663349527996798e-07,0.8400920092520088,0.11210602470272091,7.229564368905025,5,1,0.8663595594942264,COMPLETE
11,1.0476137015874847,2025-11-15 16:29:56.567329,2025-11-15 16:29:57.553888,0 days 00:00:00.986559,2.3237626243574407e-05,0.5006297129937585,0.010151625615619247,1.2267308994336619e-05,8,10,0.9944371165383002,COMPLETE
12,1.052758422015438,2025-11-15 16:29:57.553888,2025-11-15 16:29:59.370780,0 days 00:00:01.816892,9.135949866749888e-06,0.6856688122761623,0.010526604523745348,1.7548184791664194e-05,11,10,0.9988180415066087,COMPLETE
13,1.1308285428521412,2025-11-15 16:29:59.370780,2025-11-15 16:30:00.986223,0 days 00:00:01.615443,3.070106445554785e-06,0.5035830259519388,0.07513134822488546,1.4080794513470417e-05,11,10,0.9932019417565751,COMPLETE
14,1.0519477749945527,2025-11-15 16:30:00.986223,2025-11-15 16:30:02.386688,0 days 00:00:01.400465,1.1196802223096204e-08,0.5153073139794956,0.016683740268003174,1.05248621951222e-05,10,9,0.6856817527378194,COMPLETE
15,1.2661263554451903,2025-11-15 16:30:02.386688,2025-11-15 16:30:04.024114,0 days 00:00:01.637426,2.2648098696988026e-08,0.5103863485952012,0.18459747998541626,1.2969230982882108e-06,10,8,0.673324010175532,COMPLETE
16,1.1374046339474972,2025-11-15 16:30:04.024114,2025-11-15 16:30:05.092386,0 days 00:00:01.068272,1.2165364751881214e-08,0.5658311888943166,0.09337150957845501,0.0001312144407915429,8,8,0.6278845072371341,COMPLETE
17,1.0702709480843344,2025-11-15 16:30:05.092386,2025-11-15 16:30:06.404705,0 days 00:00:01.312319,1.4178495661415869e-06,0.5531119135937069,0.044755791595045336,5.356682720068728e-07,9,9,0.8208602602909773,COMPLETE
18,1.1956812539123016,2025-11-15 16:30:06.404705,2025-11-15 16:30:08.269918,0 days 00:00:01.865213,0.0006196078214094454,0.6832344688141878,0.14123716731301547,9.706896456168966e-05,11,9,0.7049900798708315,COMPLETE
