feature,mean_abs_shap
Log_Return_change2_Roll_Mean_30,0.16445184
Log_Return_change2_Lag_10,0.14545159
Log_Return_change2_Roll_Max_10,0.09367251
High_Roll_Std_30,0.08927309
Log_Return_change1_Lag_60,0.058441278
Log_Return_change2_Lag_1,0.05550735
High_Roll_Std_10,0.048564203
Close,0.030193651
Log_Return_change2_Lag_60,0.029538268
day_of_month,0.023024311
Log_Return_change1_Roll_Mean_30,0.0199794
Volume,0.019384557
Log_Return,0.018756812
Log_Return_Lag_90,0.017220054
Log_Return_change1_Lag_250,0.017055005
macd_5_10_5_long,0.016999085
Log_Return_change1_Lag_2,0.015918583
dayy_cos,0.015041771
Log_Return_Roll_Mean_30,0.014347002
Log_Return_Lag_1,0.013929583
day_of_year_norm,0.013917318
Log_Return_Lag_30,0.013891343
Log_Return_change2_Roll_Mean_60,0.013663184
Log_Return_change2_Lag_3,0.012919659
Log_Return_Lag_20,0.012544697
Log_Return_change1_Lag_20,0.011020717
Log_High_Return23,0.009245171
Log_Return_change2_Lag_90,0.009029134
Log_High_Return_change3,0.008092705
Log_Return_change1_Roll_Mean_20,0.008065938
