number,value,datetime_start,datetime_complete,duration,params_id_base_features,params_id_extra_symbols,params_id_remove_multicollinearity,params_id_tsfresh_features,state
0,0.1448528620680708,2025-10-23 07:02:03.732273,2025-10-23 07:02:31.570975,0 days 00:00:27.838702,11,0,1,6,COMPLETE
1,0.04207223865623483,2025-10-23 07:02:31.640810,2025-10-23 07:03:03.091731,0 days 00:00:31.450921,58,0,1,10,COMPLETE
2,0.11119589385263595,2025-10-23 07:03:03.160389,2025-10-23 07:03:33.271696,0 days 00:00:30.111307,16,0,0,1,COMPLETE
3,0.10049147281791643,2025-10-23 07:03:33.347695,2025-10-23 07:03:51.981772,0 days 00:00:18.634077,18,0,0,7,COMPLETE
4,0.08303661671150514,2025-10-23 07:03:52.047468,2025-10-23 07:04:10.069210,0 days 00:00:18.021742,42,0,0,3,COMPLETE
5,0.03011214380054139,2025-10-23 07:04:10.139183,2025-10-23 07:04:33.100647,0 days 00:00:22.961464,36,0,1,7,COMPLETE
6,0.009411466979610983,2025-10-23 07:04:33.169602,2025-10-23 07:04:55.545762,0 days 00:00:22.376160,45,0,0,5,COMPLETE
7,0.022296610169853015,2025-10-23 07:04:55.611304,2025-10-23 07:05:14.930631,0 days 00:00:19.319327,14,0,1,1,COMPLETE
8,0.08987901916342322,2025-10-23 07:05:14.993489,2025-10-23 07:05:38.040779,0 days 00:00:23.047290,57,0,0,6,COMPLETE
9,0.03943226756623719,2025-10-23 07:05:38.095391,2025-10-23 07:06:04.923904,0 days 00:00:26.828513,60,0,0,14,COMPLETE
10,0.07957650597453236,2025-10-23 07:06:04.980260,2025-10-23 07:06:22.448698,0 days 00:00:17.468438,27,0,1,0,COMPLETE
11,0.022296610169853015,2025-10-23 07:06:22.516919,2025-10-23 07:06:41.585880,0 days 00:00:19.068961,11,0,1,1,COMPLETE
12,-0.02257007704527264,2025-10-23 07:06:41.654994,2025-10-23 07:07:03.520575,0 days 00:00:21.865581,16,0,1,6,COMPLETE
13,0.04727218192953009,2025-10-23 07:07:03.580332,2025-10-23 07:07:16.929165,0 days 00:00:13.348833,0,0,0,2,COMPLETE
14,0.11038651699331092,2025-10-23 07:07:16.992798,2025-10-23 07:07:39.398203,0 days 00:00:22.405405,11,0,0,11,COMPLETE
15,0.0048141514315689915,2025-10-23 07:07:39.476854,2025-10-23 07:08:00.386673,0 days 00:00:20.909819,16,0,1,9,COMPLETE
16,0.09163209735377698,2025-10-23 07:08:00.450330,2025-10-23 07:08:20.769097,0 days 00:00:20.318767,6,0,1,8,COMPLETE
