baseline_modelName,target,period,rmse,mae,r2,trading_days,trade_rate,win_rate,total_return,annualized_return,cagr,sharpe_ratio,sortino_ratio,omega_ratio,max_drawdown,calmar_ratio,profit_factor,volatility
baseline_EAF,LogReturn,validating,1.387004008226915,0.9729628007530533,-0.781047762835396,416.4,0.5500660501981506,0.5540030098173252,0.407847561849202,0.13939801442160057,0.13983434421973207,1.2768076677994498,0.9964354646287903,1.3736570527738532,0.10848083628231657,1.5211712256590086,1.3736570527738532,0.10654426431529532
baseline_LSTM,LogReturn,validating,1.159924694192542,0.8382603262755856,-0.22896623800200194,304.0,0.4069611780455154,0.587434590961797,0.381005490504581,0.1314729146418244,0.13182439538397733,1.239713036762851,0.7729619729430308,1.4460466603359705,0.14007787967111407,1.1595046453536302,1.4460466603359705,0.10441702222157152
baseline_XGBM,LogReturn,validating,1.0384851047716064,0.7087375832932293,0.0034263006826507738,416.4,0.5500660501981506,0.5571427615097103,0.3813663021260861,0.12855956540927113,0.12896004427311566,1.1421594633347696,0.8466617689600315,1.3356492628332783,0.11295128436014737,1.3767064909862783,1.3356492628332783,0.11265661910798733
baseline_BuyAndHold,LogReturn,validating,1.0412354479202202,0.7095458342269183,-0.0018586195991059373,756.0,0.9986789960369882,0.5529100529100529,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062
baseline_LGBM,LogReturn,validating,1.1771147965738757,0.8598331072234515,-0.2805978063000002,224.2,0.29616908850726553,0.5726833267029467,0.2776505142340456,0.0924007404247198,0.09268371935275233,1.0049813566754229,0.5449564380000615,1.4491699236362892,0.12523108639126002,0.7717260154941699,1.4491699236362892,0.09189487713378076
baseline_ARIMA,LogReturn,validating,1.0412747677087397,0.7096262514283951,-0.0019342866596481212,136.0,0.17965653896961692,0.5808823529411765,0.17446499578225283,0.05859120570523113,0.0587674949978485,1.21829944384512,0.5261018792477395,1.649137645938686,0.04759400773285614,1.2310626588561728,1.649137645938686,0.047671511223193096
baseline_BuyAndHold,Close,validating,447.8703695622615,395.45019998890564,-3.5374677084450283,756.0,0.9986789960369882,0.5529100529100529,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062
baseline_EAF,Close,validating,80.24799321782548,52.43060607507017,0.8541826868332766,327.2,0.4322324966974901,0.5751182666836536,0.36233144927220734,0.12234526652845132,0.12272489339645745,1.1933116189222832,0.7963494155654693,1.4049249082428772,0.07899650106647342,1.5487428541360468,1.4049249082428772,0.10353142418722357
baseline_LGBM,Close,validating,84.90803624646544,62.97718795518317,0.8368962547840431,216.6,0.28612945838837517,0.5264543305847653,0.09793915505042286,0.029565427059474736,0.02965329285917,0.38911016114416175,0.19136981787606333,1.1464988879061815,0.1316034110276823,0.22463136853242097,1.1464988879061815,0.08360517094652342
baseline_LSTM,Close,validating,140.5472214343777,120.29175896293505,0.5367008978680271,25.0,0.03346720214190094,0.6275578444543962,0.08284055989025807,0.027725425952344108,0.027795914485299632,0.8587833965767698,0.3134631838720151,3.858304873433968,0.018794496361649704,2.082562395634233,3.858304873433968,0.03427407922727265
baseline_XGBM,Close,validating,67.56176486164316,47.86006204461482,0.8965441645753423,182.2,0.2406869220607662,0.5166643335543832,0.08676335192650378,0.025651051706430828,0.025728125548616077,0.3218731498162556,0.16208559107047038,1.1383801318770694,0.150402587605624,0.19524609316620684,1.1383801318770694,0.0882277957164404
baseline_ARIMA,Close,validating,420.5768520703752,365.6259802713734,-3.0012862091026973,57.0,0.07529722589167767,0.5614035087719298,0.06690944504218488,0.022218662495308017,0.022284359700762923,0.9112103773534143,0.31035929341398466,1.75820391552767,0.016503895212102774,1.346267787680477,1.75820391552767,0.02444406511779829
baseline_LGBM,LogReturn,training,0.06258759096656545,0.029435425160832068,0.997229215104072,1690.6,0.5182709993868793,0.985568955141597,14.133861021551155,1.95410389456258,1.9480025046392033,9.59190107062036,321.4407635160948,4823.003971126031,0.00035200827389317356,5605.904690612457,4823.003971126031,0.11383418697610201
baseline_LSTM,LogReturn,training,0.16901000474750755,0.1274646884979106,0.9797939992191296,1714.4,0.5271832718327183,0.9326338935626548,13.897329703364203,1.910241375889304,1.9046271337829956,9.42203987083845,49.96941051822619,132.23709580193616,0.005729135391656834,395.31279696554236,132.23709580193616,0.1142974568915042
baseline_XGBM,LogReturn,training,1.1357444893059574,0.7940399189261376,0.08654119062945845,2096.8,0.6427958307786634,0.6401012932853997,7.776581659240419,0.8263452955473947,0.8242046168387684,4.483080854596632,5.180322247123831,3.415669177756288,0.09658558809148103,14.859061265820245,3.415669177756288,0.1363153206772332
baseline_EAF,LogReturn,training,1.5675416173588839,1.153202772044197,-0.7382058819532927,1609.2,0.4933169834457388,0.5260836855544503,1.1521510729420652,0.08442106227028509,0.08425321980132901,0.7078273420923207,0.4946370258222309,1.197410581917343,0.3471710096973456,0.2527448685474939,1.197410581917343,0.12619279029665492
baseline_BuyAndHold,LogReturn,training,1.1895434661625648,0.8343431871996195,-0.00048799336376892377,3261.0,0.9996934396076027,0.5148727384237963,1.0769871552611778,0.06757749178506645,0.06744424939914984,0.44130736118970504,0.43130743100978924,1.082454280930039,0.443638441258952,0.1523256000839238,1.082454280930039,0.18853237393656844
baseline_ARIMA,LogReturn,training,1.1888144929143278,0.8345949220280942,0.0007378643375134386,1628.0,0.49908031882280807,0.5073710073710074,0.5455852853549711,0.03490565508074761,0.034837882229384665,0.33665447189351244,0.23954494355968187,1.087159190737483,0.4589188331919852,0.07606062893074841,1.087159190737483,0.12519726600517195
baseline_LGBM,Close,training,1.129653391902466,0.44460636600599124,0.9999867518446672,1756.4,0.5384426732066216,0.7178324757155873,10.012113278262257,1.1485454458163944,1.1454113262996888,6.260856809503563,7.961601081965101,5.766451994928912,0.03640896574940507,31.56391231735849,5.766451994928911,0.1235404803797852
baseline_XGBM,Close,training,1.5221240817150745,0.9089117951805354,0.9999293161051318,1746.6,0.5354383813611282,0.7194318145508426,10.001906213140092,1.1470394152046697,1.1439101228755075,6.265618695254238,8.001948290415521,5.829211884117207,0.03658635269496725,31.381425213773014,5.829211884117206,0.12332648158047119
